@RELATION hs

@ATTRIBUTE sequence     string
@ATTRIBUTE incoming     NUMERIC
@ATTRIBUTE outgoing     NUMERIC
@ATTRIBUTE lifetime     NUMERIC
@ATTRIBUTE class        {HS-RP,Client-RP,noise}
@ATTRIBUTE inc_50     NUMERIC
@ATTRIBUTE out_50     NUMERIC
@DATA
-1+1-1+1-1+1-1+1-1+1,14320,1413,1055.83577394,noise,23,27
-1+1+1-1-1+1-1+1-1+1-1-1+1,17862,1286,719.402374029,noise,39,11
-1+1-1-1+1-1+1-1+1-1-1+1,15832,1462,625.153604031,noise,41,9
-1+1+1-1+1-1-1+1-1-1-1+1-1-1+1-1,5509,395,358.252134085,noise,45,5
-1+1-1+1-1+1-1+1-1+1,4883,432,724.406160116,noise,37,13
-1+1-1+1+1-1+1-1-1+1-1+1,33763,1394,643.441171885,noise,41,9
-1+1-1+1-1+1-1+1-1+1+1,59996,2590,552.017355919,noise,44,6
-1+1-1-1+1-1+1-1+1-1-1+1,2446,329,295.143438816,noise,44,6
-1+1-1-1+1-1-1+1-1+1-1-1+1,31534,1922,946.532929897,noise,35,15
-1+1+1-1+1-1+1-1-1+1-1-1+1+1,3341,231,174.868522882,noise,45,5
-1+1+1-1+1-1-1+1-1-1+1-1+1-1,697,50,118.178129911,noise,37,13
-1+1-1-1+1-1+1-1+1+1-1-1+1+1,48738,2813,2451.10374904,noise,45,5
-1+1+1-1+1-1-1+1-1+1-1+1+1,101758,4136,717.288922071,noise,41,9
-1+1-1+1+1-1+1+1-1+1-1+1,1969,122,79.2814769745,noise,45,5
-1+1+1-1+1+1-1-1+1-1+1+1-1+1,276,23,333.125544071,noise,44,6
-1+1-1-1+1-1-1+1-1+1+1-1+1+1,27587,1527,592.37185812,noise,41,9
-1+1-1+1-1+1-1+1-1+1,11854,702,508.188793182,noise,45,5
-1+1-1+1-1+1-1-1+1+1,4,4,1.28231287003,noise,4,4
-1+1+1-1+1-1+1+1-1-1+1-1+1,26502,1492,677.631294012,noise,36,14
-1+1-1-1+1+1-1-1+1-1+1+1-1+1+1,52504,2809,829.282128811,noise,45,5
-1+1-1+1-1+1-1+1-1+1,378024,11374,624.192409992,noise,36,14
-1+1-1-1+1-1+1-1+1-1+1,8299,654,393.307034016,noise,31,19
-1+1-1+1+1-1+1-1+1-1-1+1,14508,1128,519.922366142,noise,41,9
-1+1-1-1+1-1-1+1-1-1+1+1-1+1,14283,778,634.636698008,noise,41,9
-1+1-1-1+1-1+1-1-1+1-1+1+1,84478,3091,612.840743065,noise,45,5
-1+1-1+1-1+1-1+1+1-1+1,20290,1551,1249.81442785,noise,37,13
-1+1-1+1-1-1+1-1+1-1+1-1,27405,1816,1059.55482006,noise,45,5
-1+1-1+1-1+1-1+1-1+1,49649,1858,704.583046913,noise,44,6
-1+1+1-1-1+1-1-1+1-1+1+1-1+1,17,18,68.3196659088,noise,17,18
-1+1-1-1+1-1+1-1-1+1-1+1,9288,780,591.071677208,noise,41,9
-1+1-1-1+1-1+1-1+1-1+1,1109706,33329,1336.24213409,noise,38,12
-1+1-1+1-1+1+1-1+1-1+1+1,14424,640,700.001882076,noise,43,7
-1+1-1+1+1-1+1-1+1-1-1+1,18711,1477,559.410248995,noise,40,10
-1+1-1+1-1-1+1-1+1-1-1+1,19265,1330,590.417702913,noise,27,23
-1+1-1+1-1+1+1-1-1-1+1-1+1,8133,585,727.80645299,noise,39,11
-1+1-1-1+1-1+1-1+1+1-1+1+1,22344,1628,643.644606829,noise,45,5
-1+1-1+1-1+1-1-1+1-1+1,951,65,398.480968952,noise,43,7
-1+1+1-1+1-1+1-1+1+1-1+1,11470,906,3805.35535598,noise,42,8
-1+1-1-1+1-1+1-1+1-1-1-1+1,9015,463,123.310674906,noise,41,9
-1+1-1+1-1-1+1-1+1-1+1,7361,499,996.182365179,noise,42,8
-1+1-1+1-1+1-1+1-1+1,9092,513,392.575186968,noise,40,10
-1+1-1+1+1+1-1+1-1+1-1+1+1,113146,4700,3907.78609991,noise,32,18
-1+1-1+1-1+1-1-1+1-1+1,19785,1507,639.207095861,noise,45,5
-1+1-1-1+1-1+1-1-1+1-1+1+1,48480,2450,618.918194056,noise,39,11
